drug,label,organization,name,update_date,gene,data_source
perindopril arginine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for bisoprolol fumarate / perindopril arginine and G6PD,,G6PD,drug_label
chloroquine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for chloroquine and G6PD,,G6PD,drug_label
clopidogrel,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for clopidogrel and CYP2C19,2019-11-05,CYP2C19,drug_label
daclatasvir,Informative PGx,Swissmedic,Annotation of Swissmedic Label for daclatasvir and IFNL3,,IFNL3,drug_label
dasabuvir,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for dasabuvir and IFNL3,,IFNL3,drug_label
efavirenz,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for efavirenz and CYP2B6,,CYP2B6,drug_label
escitalopram,Informative PGx,Swissmedic,Annotation of Swissmedic Label for escitalopram and CYP2D6,,CYP2D6,drug_label
ezetimibe,Testing recommended,Swissmedic,Annotation of Swissmedic Label for ezetimibe / simvastatin and SLCO1B1,,SLCO1B1,drug_label
simvastatin,Testing recommended,Swissmedic,Annotation of Swissmedic Label for ezetimibe / simvastatin and SLCO1B1,,SLCO1B1,drug_label
fesoterodine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for fesoterodine and CYP2D6,,CYP2D6,drug_label
fluorouracil,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for fluorouracil and TYMS,,TYMS,drug_label
gefitinib,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for gefitinib and CYP2D6,,CYP2D6,drug_label
gliclazide,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for gliclazide and G6PD,,G6PD,drug_label
ibrutinib,Informative PGx,Swissmedic,Annotation of Swissmedic Label for ibrutinib and CYP2D6,,CYP2D6,drug_label
lamivudine,Testing required,Swissmedic,Annotation of Swissmedic Label for lamivudine / abacavir and HLA-B,2020-06-18,HLA-B,drug_label
abacavir,Testing required,Swissmedic,Annotation of Swissmedic Label for lamivudine / abacavir and HLA-B,2020-06-18,HLA-B,drug_label
azathioprine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for azathioprine and NUDT15, TPMT",,NUDT15,drug_label
azathioprine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for azathioprine and NUDT15, TPMT",,TPMT,drug_label
ezetimibe,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for ezetimibe / rosuvastatin and ABCG2, SLCO1B1",,ABCG2,drug_label
ezetimibe,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for ezetimibe / rosuvastatin and ABCG2, SLCO1B1",,SLCO1B1,drug_label
rosuvastatin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for ezetimibe / rosuvastatin and ABCG2, SLCO1B1",,ABCG2,drug_label
rosuvastatin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for ezetimibe / rosuvastatin and ABCG2, SLCO1B1",,SLCO1B1,drug_label
lapatinib,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for lapatinib and HLA-DQA1, HLA-DRB1",,HLA-DQA1,drug_label
lapatinib,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for lapatinib and HLA-DQA1, HLA-DRB1",,HLA-DRB1,drug_label
metabutethamine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for metabutethamine and G6PD,,G6PD,drug_label
nitrofurantoin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for nitrofurantoin and G6PD,,G6PD,drug_label
ondansetron,Informative PGx,Swissmedic,Annotation of Swissmedic Label for ondansetron and CYP2D6,,CYP2D6,drug_label
oxycodone,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for oxycodone and CYP2D6,,CYP2D6,drug_label
paliperidone,Informative PGx,Swissmedic,Annotation of Swissmedic Label for paliperidone and CYP2D6,,CYP2D6,drug_label
perindopril,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for perindopril and G6PD,,G6PD,drug_label
pitavastatin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for pitavastatin and SLCO1B1,,SLCO1B1,drug_label
rabeprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for rabeprazole and CYP2C19,,CYP2C19,drug_label
risperidone,Informative PGx,Swissmedic,Annotation of Swissmedic Label for risperidone and CYP2D6,,CYP2D6,drug_label
simvastatin,Testing recommended,Swissmedic,Annotation of Swissmedic Label for simvastatin and SLCO1B1,,SLCO1B1,drug_label
sulfadiazine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for sulfadiazine and G6PD,,G6PD,drug_label
tamoxifen,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for tamoxifen and CYP2D6,,CYP2D6,drug_label
sulfasalazine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for sulfasalazine and G6PD,,G6PD,drug_label
tolperisone,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for tolperisone and CYP2D6,,CYP2D6,drug_label
tetrabenazine,Testing required,Swissmedic,Annotation of Swissmedic Label for tetrabenazine and CYP2D6,,CYP2D6,drug_label
umeclidinium,Informative PGx,Swissmedic,Annotation of Swissmedic Label for umeclidinium / vilanterol and CYP2D6,,CYP2D6,drug_label
vilanterol,Informative PGx,Swissmedic,Annotation of Swissmedic Label for umeclidinium / vilanterol and CYP2D6,,CYP2D6,drug_label
vortioxetine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for vortioxetine and CYP2D6,,CYP2D6,drug_label
letermovir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for letermovir and SLCO1B1, UGT1A1",,SLCO1B1,drug_label
letermovir,Informative PGx,Swissmedic,"Annotation of Swissmedic Label for letermovir and SLCO1B1, UGT1A1",,UGT1A1,drug_label
darifenacin,Actionable PGx,FDA,Annotation of FDA Label for darifenacin and CYP2D6,2017-03-15,CYP2D6,drug_label
simeprevir,Informative PGx,FDA,Annotation of FDA Label for simeprevir and IFNL3,2014-07-14,IFNL3,drug_label
afatinib,Testing required,EMA,Annotation of EMA Label for afatinib and EGFR,2014-05-02,EGFR,drug_label
fesoterodine,Actionable PGx,EMA,Annotation of EMA Label for fesoterodine and CYP2D6,2014-08-07,CYP2D6,drug_label
fesoterodine,Actionable PGx,FDA,Annotation of FDA Label for fesoterodine and CYP2D6,2017-03-15,CYP2D6,drug_label
glipizide,Actionable PGx,FDA,Annotation of FDA Label for glipizide and G6PD,2013-12-17,G6PD,drug_label
ponatinib,Testing required,FDA,"Annotation of FDA Label for ponatinib and ABL1, BCR",2019-04-19,ABL1,drug_label
ponatinib,Testing required,FDA,"Annotation of FDA Label for ponatinib and ABL1, BCR",2019-04-19,BCR,drug_label
bosutinib,Testing required,FDA,"Annotation of FDA Label for bosutinib and ABL1, BCR",2019-10-21,ABL1,drug_label
bosutinib,Testing required,FDA,"Annotation of FDA Label for bosutinib and ABL1, BCR",2019-10-21,BCR,drug_label
efavirenz,Actionable PGx,FDA,Annotation of FDA Label for efavirenz and CYP2B6,,CYP2B6,drug_label
glimepiride,Actionable PGx,FDA,Annotation of FDA Label for glimepiride and G6PD,2013-12-17,G6PD,drug_label
afutuzumab,Informative PGx,FDA,Annotation of FDA Label for afutuzumab and MS4A1,2017-12-07,MS4A1,drug_label
ibritumomab,Informative PGx,FDA,Annotation of FDA Label for ibritumomab and MS4A1,2013-12-17,MS4A1,drug_label
lomitapide,Informative PGx,FDA,Annotation of FDA Label for lomitapide and LDLR,2017-11-08,LDLR,drug_label
escitalopram,Actionable PGx,FDA,Annotation of FDA Label for escitalopram and CYP2C19,2020-09-22,CYP2C19,drug_label
duloxetine,Actionable PGx,FDA,Annotation of FDA Label for duloxetine and CYP2D6,,CYP2D6,drug_label
donepezil,Actionable PGx,FDA,Annotation of FDA Label for donepezil and CYP2D6,,CYP2D6,drug_label
ranolazine,Actionable PGx,EMA,Annotation of EMA Label for ranolazine and CYP2D6,,CYP2D6,drug_label
pazopanib,Actionable PGx,EMA,Annotation of EMA Label for pazopanib and HLA-B,2014-06-05,HLA-B,drug_label
darifenacin,Actionable PGx,EMA,Annotation of EMA Label for darifenacin and CYP2D6,2014-08-07,CYP2D6,drug_label
ponatinib,Testing required,EMA,"Annotation of EMA Label for ponatinib and ABL1, BCR",2014-06-13,ABL1,drug_label
ponatinib,Testing required,EMA,"Annotation of EMA Label for ponatinib and ABL1, BCR",2014-06-13,BCR,drug_label
velaglucerase alfa,Testing required,EMA,Annotation of EMA Label for velaglucerase alfa and GBA,2014-08-06,GBA,drug_label
panitumumab,Testing required,EMA,"Annotation of EMA Label for panitumumab and KRAS, NRAS",2013-10-27,KRAS,drug_label
panitumumab,Testing required,EMA,"Annotation of EMA Label for panitumumab and KRAS, NRAS",2013-10-27,NRAS,drug_label
ofatumumab,Informative PGx,EMA,Annotation of EMA Label for ofatumumab and MS4A1,2019-12-04,MS4A1,drug_label
propranolol,Informative PGx,EMA,Annotation of EMA Label for propranolol and CYP2D6,2014-06-26,CYP2D6,drug_label
trastuzumab emtansine,Testing required,EMA,Annotation of EMA Label for trastuzumab emtansine and ERBB2,2014-07-10,ERBB2,drug_label
lenalidomide,Testing required,FDA,Annotation of FDA Label for lenalidomide,2017-11-08,,drug_label
erlotinib,Testing required,EMA,Annotation of EMA Label for erlotinib and EGFR,2013-10-25,EGFR,drug_label
clopidogrel,Actionable PGx,EMA,Annotation of EMA Label for clopidogrel and CYP2C19,2013-10-25,CYP2C19,drug_label
telaprevir,Actionable PGx,FDA,Annotation of FDA Label for telaprevir and IFNL3,2013-10-25,IFNL3,drug_label
dextromethorphan,Testing recommended,FDA,Annotation of FDA Label for dextromethorphan / quinidine and CYP2D6,2013-10-25,CYP2D6,drug_label
quinidine,Testing recommended,FDA,Annotation of FDA Label for dextromethorphan / quinidine and CYP2D6,2013-10-25,CYP2D6,drug_label
rabeprazole,Actionable PGx,HCSC,Annotation of HCSC Label for rabeprazole and CYP2C19,,CYP2C19,drug_label
atorvastatin,Informative PGx,HCSC,Annotation of HCSC Label for atorvastatin and LDLR,2017-11-08,LDLR,drug_label
succimer,Informative PGx,FDA,Annotation of FDA Label for succimer and G6PD,2014-01-15,G6PD,drug_label
methylene blue,Actionable PGx,FDA,Annotation of FDA Label for methylene blue and G6PD,2013-12-17,G6PD,drug_label
dexlansoprazole,Actionable PGx,FDA,Annotation of FDA Label for dexlansoprazole and CYP2C19,2013-10-25,CYP2C19,drug_label
trametinib,Testing required,FDA,Annotation of FDA Label for trametinib and BRAF,2017-11-09,BRAF,drug_label
vemurafenib,Testing required,FDA,Annotation of FDA Label for vemurafenib and BRAF,2017-11-10,BRAF,drug_label
citalopram,Actionable PGx,FDA,Annotation of FDA Label for citalopram and CYP2C19,2020-09-22,CYP2C19,drug_label
amitriptyline,Actionable PGx,FDA,Annotation of FDA Label for amitriptyline and CYP2D6,2013-12-16,CYP2D6,drug_label
hydralazine,Informative PGx,FDA,Annotation of FDA Label for hydralazine / isosorbide dinitrate and NAT2,2019-10-14,NAT2,drug_label
isosorbide dinitrate,Informative PGx,FDA,Annotation of FDA Label for hydralazine / isosorbide dinitrate and NAT2,2019-10-14,NAT2,drug_label
rabeprazole,Actionable PGx,FDA,Annotation of FDA Label for rabeprazole and CYP2C19,2019-10-10,CYP2C19,drug_label
clomipramine,Actionable PGx,FDA,Annotation of FDA Label for clomipramine and CYP2D6,2013-10-25,CYP2D6,drug_label
bosutinib,Testing required,EMA,"Annotation of EMA Label for bosutinib and ABL1, BCR",2014-03-31,ABL1,drug_label
bosutinib,Testing required,EMA,"Annotation of EMA Label for bosutinib and ABL1, BCR",2014-03-31,BCR,drug_label
thioguanine,Testing recommended,FDA,"Annotation of FDA Label for thioguanine and NUDT15, TPMT",2013-10-25,NUDT15,drug_label
thioguanine,Testing recommended,FDA,"Annotation of FDA Label for thioguanine and NUDT15, TPMT",2013-10-25,TPMT,drug_label
bosutinib,Testing required,HCSC,"Annotation of HCSC Label for bosutinib and ABL1, BCR",,ABL1,drug_label
bosutinib,Testing required,HCSC,"Annotation of HCSC Label for bosutinib and ABL1, BCR",,BCR,drug_label
primaquine,Actionable PGx,HCSC,"Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",,CYB5R1,drug_label
primaquine,Actionable PGx,HCSC,"Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",,CYB5R2,drug_label
primaquine,Actionable PGx,HCSC,"Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",,CYB5R3,drug_label
primaquine,Actionable PGx,HCSC,"Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",,CYB5R4,drug_label
primaquine,Actionable PGx,HCSC,"Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",,G6PD,drug_label
fluoxetine,Actionable PGx,FDA,Annotation of FDA Label for fluoxetine / olanzapine and CYP2D6,2013-12-17,CYP2D6,drug_label
olanzapine,Actionable PGx,FDA,Annotation of FDA Label for fluoxetine / olanzapine and CYP2D6,2013-12-17,CYP2D6,drug_label
pravastatin,Informative PGx,FDA,Annotation of FDA Label for pravastatin and APOE,2019-04-22,APOE,drug_label
sulfadiazine,Actionable PGx,FDA,Annotation of FDA Label for sulfadiazine and G6PD,2013-10-25,G6PD,drug_label
trastuzumab,Testing required,EMA,Annotation of EMA Label for trastuzumab and ERBB2,2013-12-05,ERBB2,drug_label
glibenclamide,Actionable PGx,FDA,Annotation of FDA Label for glibenclamide and G6PD,2013-12-17,G6PD,drug_label
propafenone,Actionable PGx,FDA,Annotation of FDA Label for propafenone and CYP2D6,2013-10-25,CYP2D6,drug_label
mycophenolic acid,Actionable PGx,FDA,Annotation of FDA Label for mycophenolic acid and HPRT1,2013-10-25,HPRT1,drug_label
tramadol,Actionable PGx,FDA,Annotation of FDA Label for tramadol and CYP2D6,2017-05-01,CYP2D6,drug_label
trimipramine,Actionable PGx,FDA,Annotation of FDA Label for trimipramine and CYP2D6,2013-10-25,CYP2D6,drug_label
venlafaxine,Actionable PGx,FDA,Annotation of FDA Label for venlafaxine and CYP2D6,2013-10-25,CYP2D6,drug_label
trastuzumab,Testing required,FDA,Annotation of FDA Label for trastuzumab and ERBB2,2017-11-09,ERBB2,drug_label
esomeprazole,Actionable PGx,FDA,Annotation of FDA Label for esomeprazole and CYP2C19,2013-10-25,CYP2C19,drug_label
irinotecan,Actionable PGx,FDA,Annotation of FDA Label for irinotecan and UGT1A1,2013-10-25,UGT1A1,drug_label
risperidone,Informative PGx,FDA,Annotation of FDA Label for risperidone and CYP2D6,2019-10-10,CYP2D6,drug_label
rasburicase,Informative PGx,FDA,"Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4",2016-03-21,CYB5R1,drug_label
rasburicase,Informative PGx,FDA,"Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4",2016-03-21,CYB5R2,drug_label
rasburicase,Informative PGx,FDA,"Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4",2016-03-21,CYB5R3,drug_label
rasburicase,Informative PGx,FDA,"Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4",2016-03-21,CYB5R4,drug_label
atomoxetine,Actionable PGx,HCSC,Annotation of HCSC Label for atomoxetine and CYP2D6,,CYP2D6,drug_label
rasburicase,Testing recommended,HCSC,Annotation of HCSC Label for rasburicase and G6PD,,G6PD,drug_label
regorafenib,Informative PGx,FDA,"Annotation of FDA Label for regorafenib and EGFR, KRAS, VEGFA",2019-10-08,EGFR,drug_label
regorafenib,Informative PGx,FDA,"Annotation of FDA Label for regorafenib and EGFR, KRAS, VEGFA",2019-10-08,KRAS,drug_label
regorafenib,Informative PGx,FDA,"Annotation of FDA Label for regorafenib and EGFR, KRAS, VEGFA",2019-10-08,VEGFA,drug_label
atazanavir,Informative PGx,HCSC,Annotation of HCSC Label for atazanavir and CYP2C19,,CYP2C19,drug_label
brigatinib,Testing required,EMA,Annotation of EMA Label for brigatinib and ALK,,ALK,drug_label
pembrolizumab,Informative PGx,FDA,Annotation of FDA Label for pembrolizumab and BRAF,2019-04-19,BRAF,drug_label
pegloticase,Testing required,EMA,Annotation of EMA Label for pegloticase and G6PD,2014-06-05,G6PD,drug_label
nelfinavir,Informative PGx,EMA,Annotation of EMA Label for nelfinavir and CYP3A4,2019-12-04,CYP3A4,drug_label
belimumab,Informative PGx,FDA,Annotation of FDA Label for belimumab and TNFSF13B,2014-08-06,TNFSF13B,drug_label
telaprevir,Actionable PGx,EMA,Annotation of EMA Label for telaprevir and IFNL3,2013-10-28,IFNL3,drug_label
dabrafenib,Actionable PGx,FDA,Annotation of FDA Label for dabrafenib and G6PD,2017-11-09,G6PD,drug_label
timolol,Informative PGx,EMA,Annotation of EMA Label for timolol and CYP2D6,2019-12-04,CYP2D6,drug_label
pertuzumab,Testing required,EMA,Annotation of EMA Label for pertuzumab and ERBB2,2014-06-13,ERBB2,drug_label
vardenafil,Informative PGx,EMA,Annotation of EMA Label for vardenafil,2019-12-04,,drug_label
v,Testing recommended,EMA,Annotation of EMA Label for vandetanib and RET,2019-12-04,RET,drug_label
etanib,Testing recommended,EMA,Annotation of EMA Label for vandetanib and RET,2019-12-04,RET,drug_label
ofatumumab,Informative PGx,FDA,Annotation of FDA Label for ofatumumab and MS4A1,2019-04-18,MS4A1,drug_label
dabrafenib,Testing required,EMA,Annotation of EMA Label for dabrafenib and BRAF,2014-05-02,BRAF,drug_label
anastrozole,Testing required,FDA,"Annotation of FDA Label for anastrozole and ESR1, ESR2, PGR",2013-12-16,ESR1,drug_label
anastrozole,Testing required,FDA,"Annotation of FDA Label for anastrozole and ESR1, ESR2, PGR",2013-12-16,ESR2,drug_label
anastrozole,Testing required,FDA,"Annotation of FDA Label for anastrozole and ESR1, ESR2, PGR",2013-12-16,PGR,drug_label
pravastatin,Informative PGx,FDA,Annotation of FDA Label for pravastatin and LDLR,2017-11-08,LDLR,drug_label
